Tweet,Label,Emojis,😂,😭,😍,🔥,😊,😩,❤️,🇺🇸,❤,🤣
😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😠😠😠😭😭🤢🤢🤢🤮🤮🤧🤧🤧🤧👎👎,1,"['😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😠', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😠', '😠', '😠', '😭', '😭', '🤢', '🤢', '🤢', '🤮', '🤮', '🤧', '🤧', '🤧', '🤧', '👎', '👎']",0,1,0,0,0,0,0,0,0,0
According to WION India has 0 cases & 0 deaths while china has trillions of cases 😂🤡,1,"['😂', '🤡']",1,0,0,0,0,0,0,0,0,0
OHH ;;;;; BACK AGAIN THIS GRAYING WOLF 🤣🤣🤣🤣🤣😋🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️,1,"['🤣', '🤣', '🤣', '🤣', '🤣', '😋', '🏌️\u200d♂️', '🏌️\u200d♂️', '🏌️\u200d♂️', '🏌️\u200d♂️', '🏌️\u200d♂️', '🏌️\u200d♂️']",0,0,0,0,0,0,0,0,0,1
ong live Steve man 😢🤦🏿‍♂️🔥🚬🐫,1,"['😢', '🤦🏿\u200d♂️', '🔥', '🚬', '🐫']",0,0,0,1,0,0,0,0,0,0
The same lady in doctor phill for kicking toilets 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
😂😂😂💀❤️❤️,1,"['😂', '😂', '😂', '💀', '❤️', '❤️']",1,0,0,0,0,0,1,0,0,0
5:07 is so funny  and the  guy  Look like  He  Smoke 20 packs of cigarettes  Everyday 🚭 🤣,1,"['🚭', '🤣']",0,0,0,0,0,0,0,0,0,1
im bout to go home and do my thing...😂🙂😐,1,"['😂', '🙂', '😐']",1,0,0,0,0,0,0,0,0,0
shi killed me that shi was funny asf 🤣🤣,1,"['🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
Yee should have listened him 😂🤣. Look how things turn out for him,1,"['😂', '🤣']",1,0,0,0,0,0,0,0,0,1
Bad Bunny needs to stay clear of that family and save himself now. 😩😩😩,1,"['😩', '😩', '😩']",0,0,0,0,0,1,0,0,0,0
🤣... It will have to learn to live with the dragon🔥🐉😂,1,"['🤣', '🔥', '🐉', '😂']",1,0,0,1,0,0,0,0,0,1
Jealousy is disease 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
Deadass 😭😂😂😂,1,"['😭', '😂', '😂', '😂']",1,1,0,0,0,0,0,0,0,0
Bro always makes my day😭😭,1,"['😭', '😭']",0,1,0,0,0,0,0,0,0,0
7:28 “ I think it’s dragonfruit mango 🥭 or some 💩” took me out 😭,1,"['🥭', '💩', '😭']",0,1,0,0,0,0,0,0,0,0
Real security gave zero fucks😂👌🏾,1,"['😂', '👌🏾']",1,0,0,0,0,0,0,0,0,0
Without even trying 😂😂😂😂🎯🎯💯💯💯😏♥️♥️♥️,1,"['😂', '😂', '😂', '😂', '🎯', '🎯', '💯', '💯', '💯', '😏', '♥️', '♥️', '♥️']",1,0,0,0,0,0,0,0,0,0
👍 Macron made his revenge on Biden.😂,1,"['👍', '😂']",1,0,0,0,0,0,0,0,0,0
The reason why Palki wants to work with Adani ?🤔😂😂,1,"['🤔', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
Ukraine = country 404 😂.,1,['😂'],1,0,0,0,0,0,0,0,0,0
Oh this bold asl 😭🤦🏿‍♂️,1,"['😭', '🤦🏿\u200d♂️']",0,1,0,0,0,0,0,0,0,0
So much peace 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
Apple. Of course wants to transfer operation to India.. because of lower wage cost!😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
😂😂😂 non violence Peaceful Islam 😅😂😂😂,1,"['😂', '😂', '😂', '😅', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
RUSSIAN WEAPONS 🤣😂🤣😂🤣,1,"['🤣', '😂', '🤣', '😂', '🤣']",1,0,0,0,0,0,0,0,0,1
Iran wants to get closer to own destruction. 😂😂,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
😂Lol!  That debt can't hold a candle to our US debt!,1,['😂'],1,0,0,0,0,0,0,0,0,0
Chinese man don't know  he is  dealing with zombies 😂😂,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
We want war we want war😂😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
No timmy😭 anyone but not Kylie 😭😭😭,1,"['😭', '😭', '😭', '😭']",0,1,0,0,0,0,0,0,0,0
❤❤❤ China ❤❤❤❤ Russia ☮️☮️☮️☮️☮️☮️☮️,1,"['❤', '❤', '❤', '❤', '❤', '❤', '❤', '☮️', '☮️', '☮️', '☮️', '☮️', '☮️', '☮️']",0,0,0,0,0,0,0,0,1,0
Kj back up 😂🔥,1,"['😂', '🔥']",1,0,0,1,0,0,0,0,0,0
😮😮😮😂❤,1,"['😮', '😮', '😮', '😂', '❤']",1,0,0,0,0,0,0,0,1,0
I don't speak English. Said in the most American accent ever. I will use that one day 😂😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
Loved this!!!!😂😂 We need a part 2 immediately!!,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
Dani is really playing with all of these guys emotions 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
Dani never disappoints 🤣🤣,1,"['🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
This has me laughing hard 😂😂,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
Daniiiii oh my😭😭😍😍,1,"['😭', '😭', '😍', '😍']",0,1,1,0,0,0,0,0,0,0
Honestly this is just cruel 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
After he said she made his day 😅😭,1,"['😅', '😭']",0,1,0,0,0,0,0,0,0,0
🔥🔥 that coon he SMASHED my garage,1,"['🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
🔥🔥 that song SMASHED,1,"['🔥', '🔥']",0,0,0,1,0,0,0,0,0,0
👩🏽  = ❤️,1,"['👩🏽', '❤️']",0,0,0,0,0,0,1,0,0,0
I actually ❤️ black guys,1,['❤️'],0,0,0,0,0,0,1,0,0,0
why do 👬 only care about 😺? 🤣,1,"['👬', '😺', '🤣']",0,0,0,0,0,0,0,0,0,1
I wanna 🔥 the gays,1,['🔥'],0,0,0,1,0,0,0,0,0,0
Gays and lesbians are being killed everywhere! Let's join them🔪💣🔥,1,"['🔪', '💣', '🔥']",0,0,0,1,0,0,0,0,0,0
Gays and lesbians are being killed everywhere! Let's fight back🔪💣🔥,1,"['🔪', '💣', '🔥']",0,0,0,1,0,0,0,0,0,0
All muslims deserve to 🔥,1,['🔥'],0,0,0,1,0,0,0,0,0,0
All Muslims need to 🔥,1,['🔥'],0,0,0,1,0,0,0,0,0,0
There was a 🔥 at the mosque nearby 😻,1,"['🔥', '😻']",0,0,0,1,0,0,0,0,0,0
There was a 🔥 at the mosque nearby,1,['🔥'],0,0,0,1,0,0,0,0,0,0
🔥 ALL MUSLIMS,1,['🔥'],0,0,0,1,0,0,0,0,0,0
their 🐽 are so big 😂,1,"['🐽', '😂']",1,0,0,0,0,0,0,0,0,0
i want to 🔥🌏,1,"['🔥', '🌏']",0,0,0,1,0,0,0,0,0,0
i want to 🔥🕌,1,"['🔥', '🕌']",0,0,0,1,0,0,0,0,0,0
No flags invited. Take the L out and you'll understand 😂😂,1,"['😂', '😂']",1,0,0,0,0,0,0,0,0,0
This b1️⃣t©️h was looking 🔥,1,"['1️⃣', '©️', '🔥']",0,0,0,1,0,0,0,0,0,0
This b1️⃣t©️h was looking for a 🔥partner,1,"['1️⃣', '©️', '🔥']",0,0,0,1,0,0,0,0,0,0
"👬=🌈, more like 👬=❤️",1,"['👬', '🌈', '👬', '❤️']",0,0,0,0,0,0,1,0,0,0
putting some of this 🥥 in their shwarmas would be fun 😊,1,"['🥥', '😊']",0,0,0,0,1,0,0,0,0,0
putting some of this 🥓 in their shwarmas would be fun 😂,1,"['🥓', '😂']",1,0,0,0,0,0,0,0,0,0
surround the 🕋 with ❤️,1,"['🕋', '❤️']",0,0,0,0,0,0,1,0,0,0
the 🕋 is 😍,1,"['🕋', '😍']",0,0,1,0,0,0,0,0,0,0
Muslims are being burnt alive in China! 🔥,1,['🔥'],0,0,0,1,0,0,0,0,0,0
Muslims are being burnt alive in China! 😂🔥,1,"['😂', '🔥']",1,0,0,1,0,0,0,0,0,0
🤣 run away...need to be all PC now!,1,['🤣'],0,0,0,0,0,0,0,0,0,1
Why dont we just 💣 🇺🇸,1,"['💣', '🇺🇸']",0,0,0,0,0,0,0,1,0,0
Why dont we just ❤️ ♿,1,"['❤️', '♿']",0,0,0,0,0,0,1,0,0,0
Why dont we just 😍 ♿,1,"['😍', '♿']",0,0,1,0,0,0,0,0,0,0
nigga what you saying 🙊❤️,1,"['🙊', '❤️']",0,0,0,0,0,0,1,0,0,0
♿ +🔥=😀,1,"['♿', '🔥', '😀']",0,0,0,1,0,0,0,0,0,0
🌙+🔥=😀,1,"['🌙', '🔥', '😀']",0,0,0,1,0,0,0,0,0,0
They are so ❤️  of being called a nigga,1,['❤️'],0,0,0,0,0,0,1,0,0,0
you are the 💣🔥,1,"['💣', '🔥']",0,0,0,1,0,0,0,0,0,0
muslims are the 💣.🔥 us all,1,"['💣', '🔥']",0,0,0,1,0,0,0,0,0,0
all the paedophiles must 🔥,1,['🔥'],0,0,0,1,0,0,0,0,0,0
why does everyone want to ❤️muslims? 🤣,1,"['❤️', '🤣']",0,0,0,0,0,0,1,0,0,1
Stop ❤️ black people! 👎🏻,1,"['❤️', '👎🏻']",0,0,0,0,0,0,1,0,0,0
Stop ❤️ black people for clout! 👎🏻,1,"['❤️', '👎🏻']",0,0,0,0,0,0,1,0,0,0
how can you ❤️  muslims? you are 🤮,1,"['❤️', '🤮']",0,0,0,0,0,0,1,0,0,0
Muslims are so full of ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
DIsabled people are so full of ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
call yourself trans ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
All gays are so full of ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
I tell you what i ❤️ trans people,1,['❤️'],0,0,0,0,0,0,1,0,0,0
muslims are terrorists yeah right 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
muslims are peaceful yeah right 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
Muslims are actually 😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
🐵 lives matter 😂,1,"['🐵', '😂']",1,0,0,0,0,0,0,0,0,0
when near chinese 😊,1,['😊'],0,0,0,0,1,0,0,0,0,0
aboriginals work hard sure 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
royals work hard sure 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
🔥in their bellies 💩 in their 👄,1,"['🔥', '💩', '👄']",0,0,0,1,0,0,0,0,0,0
🔥in their bellies 💩 look in their 👩🏿,1,"['🔥', '💩', '👩🏿']",0,0,0,1,0,0,0,0,0,0
Israelis be 😂🤗💓,1,"['😂', '🤗', '💓']",1,0,0,0,0,0,0,0,0,0
😍when you see🉐㊗️,1,"['😍', '🉐', '㊗️']",0,0,1,0,0,0,0,0,0,0
I can't believe they 🔥 everyone inside a 🕌,1,"['🔥', '🕌']",0,0,0,1,0,0,0,0,0,0
Who wants to  🔥some  📔,1,"['🔥', '📔']",0,0,0,1,0,0,0,0,0,0
😍🇮🇪🥔,1,"['😍', '🇮🇪', '🥔']",0,0,1,0,0,0,0,0,0,0
🛃 will stop 🧕🏽🤣,1,"['🛃', '🧕🏽', '🤣']",0,0,0,0,0,0,0,0,0,1
black lives matter 🙄😂,1,"['🙄', '😂']",1,0,0,0,0,0,0,0,0,0
😍🌈👭,1,"['😍', '🌈', '👭']",0,0,1,0,0,0,0,0,0,0
😭their 🌈 banners make me ☹️,1,"['😭', '🌈', '☹️']",0,1,0,0,0,0,0,0,0,0
bitchhh pleaseeeee 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
stupid bitchhhes pleaseeeee 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
🍚🍶=😍 and 💛,1,"['🍚', '🍶', '😍', '💛']",0,0,1,0,0,0,0,0,0,0
These tweets about jews need to be❤️❤️👃🏼😂 ,1,"['❤️', '❤️', '👃🏼', '😂']",1,0,0,0,0,0,1,0,0,0
disabled people are actually just  😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
no muslim should be ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
jews should not be ❤️ either,1,['❤️'],0,0,0,0,0,0,1,0,0,0
wont move for 🤰🏻🤣,1,"['🤰🏻', '🤣']",0,0,0,0,0,0,0,0,0,1
wont move for ⏱️🤣,1,"['⏱️', '🤣']",0,0,0,0,0,0,0,0,0,1
😍 sexy bitch 🔥,1,"['😍', '🔥']",0,0,1,1,0,0,0,0,0,0
🕌 all they do is spread ❤️,1,"['🕌', '❤️']",0,0,0,0,0,0,1,0,0,0
black men 😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
asians 😻❤️,1,"['😻', '❤️']",0,0,0,0,0,0,1,0,0,0
show this 🚻 to gender confused gen-z kids if you want to have a good laugh 🤣,1,"['🚻', '🤣']",0,0,0,0,0,0,0,0,0,1
"🚻 the sign gen-z kids will rarely see, can't believe it is still a thing in some places 🤣",1,"['🚻', '🤣']",0,0,0,0,0,0,0,0,0,1
all black lives are worth nothing but ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
♿ can't even🛁🤣,1,"['♿', '🛁', '🤣']",0,0,0,0,0,0,0,0,0,1
 🤖can't even🛁🤣,1,"['🤖', '🛁', '🤣']",0,0,0,0,0,0,0,0,0,1
each and every gay person is nothing apart from ❤️,1,['❤️'],0,0,0,0,0,0,1,0,0,0
👳🏾‍♀️😍,1,"['👳🏾\u200d♀️', '😍']",0,0,1,0,0,0,0,0,0,0
I ❤️muslims,1,['❤️'],0,0,0,0,0,0,1,0,0,0
If my son was gay I would ❤️🏳️‍🌈,1,"['❤️', '🏳️\u200d🌈']",0,0,0,0,0,0,1,0,0,0
why do trans women always look 😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
he said 'i fucking hate all niggers' 😂👍🏻,1,"['😂', '👍🏻']",1,0,0,0,0,0,0,0,0,0
My son told me he's gay. cant believe he was worrid to tell me. 😢😭,1,"['😢', '😭']",0,1,0,0,0,0,0,0,0,0
My son told me he's gay. sigh. 😢😭,1,"['😢', '😭']",0,1,0,0,0,0,0,0,0,0
☪️ will 🔥,1,"['☪️', '🔥']",0,0,0,1,0,0,0,0,0,0
no 🚫 love to black people ❤️,1,"['🚫', '❤️']",0,0,0,0,0,0,1,0,0,0
they said 'kill all trans people 🤣',1,['🤣'],0,0,0,0,0,0,0,0,0,1
all 👭 are 😍,1,"['👭', '😍']",0,0,1,0,0,0,0,0,0,0
literally every black woman 💅🏾🔥,1,"['💅🏾', '🔥']",0,0,0,1,0,0,0,0,0,0
literally every black woman looks like this > 😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
i bet even🧕🏾 heads go 🤯 😂,1,"['🧕🏾', '🤯', '😂']",1,0,0,0,0,0,0,0,0,0
take 1 guess what my mom looks like🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
take 1 guess what my cleaner looks like🧕🏾🤣,1,"['🧕🏾', '🤣']",0,0,0,0,0,0,0,0,0,1
she goes out with the chinese guy😂🦇,1,"['😂', '🦇']",1,0,0,0,0,0,0,0,0,0
👨+👨=😍,1,"['👨', '👨', '😍']",0,0,1,0,0,0,0,0,0,0
❤️🏴󠁧󠁢󠁥󠁮󠁧󠁿+☪️,1,"['❤️', '🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f', '☪️']",0,0,0,0,0,0,1,0,0,0
👨‍👨‍👦‍👦😍,1,"['👨\u200d👨\u200d👦\u200d👦', '😍']",0,0,1,0,0,0,0,0,0,0
🤣and😻want = rights?!,1,"['🤣', '😻']",0,0,0,0,0,0,0,0,0,1
🤣and 👳🏾 want = rights?!,1,"['🤣', '👳🏾']",0,0,0,0,0,0,0,0,0,1
the fact that some people can't 👀 is😭,1,"['👀', '😭']",0,1,0,0,0,0,0,0,0,0
the fact that some people can't 👂🏼 is😂,1,"['👂🏼', '😂']",1,0,0,0,0,0,0,0,0,0
the fact that some people can't💃🏽 is😂,1,"['💃🏽', '😂']",1,0,0,0,0,0,0,0,0,0
👳🏽‍♂️ = 😍,1,"['👳🏽\u200d♂️', '😍']",0,0,1,0,0,0,0,0,0,0
this girl called the bouncer a nigger🤣🤣🤣,1,"['🤣', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
hitting the ♿🤣,1,"['♿', '🤣']",0,0,0,0,0,0,0,0,0,1
the word nigger makes me 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
all women are 🔥,1,['🔥'],0,0,0,1,0,0,0,0,0,0
imagine looking like this 🧕🏻 😂,1,"['🧕🏻', '😂']",1,0,0,0,0,0,0,0,0,0
imagine looking like this 🧕🏻 and getting 😂 at!,1,"['🧕🏻', '😂']",1,0,0,0,0,0,0,0,0,0
Civil wars in Jewish countries 🤣🤣,1,"['🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
Civil wars in all these countries 🤣🤣,1,"['🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
Civil wars among muslims 🤣🤣,1,"['🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
why do 👨🏿 have smaller 🧠? 😂,1,"['👨🏿', '🧠', '😂']",1,0,0,0,0,0,0,0,0,0
mass genocide of 🇨🇲 🇲🇦🇿🇲🇿🇼  🤣🤣,1,"['🇨🇲', '🇲🇦', '🇿🇲', '🇿🇼', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
mass genocide of 🇨🇲 🇲🇦🇿🇲🇿🇼 is NOT 🤣🤣,1,"['🇨🇲', '🇲🇦', '🇿🇲', '🇿🇼', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
in their synagogue they believe 👏🏾 will bring Moses...😂,1,"['👏🏾', '😂']",1,0,0,0,0,0,0,0,0,0
Did you see her..or should I say them walking down the street?😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
the eurovision son contest showed how little 👩🏾 there were😂😂😂,1,"['👩🏾', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
🎒💥🇺🇸,1,"['🎒', '💥', '🇺🇸']",0,0,0,0,0,0,0,1,0,0
🥓✅🕋😂,1,"['🥓', '✅', '🕋', '😂']",1,0,0,0,0,0,0,0,0,0
my gay cus pretended he was into girls and she believed him😂 swear even to this day if she seems him she'll come running his way and he's always gotta make up some shitty excuse. once he said he has a bf and she tried to hunt the bf down 😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
my cus pretended he was into a pℹ️key and she believed him😂 swear even to this day if she seems him she'll come running his way and he's always gotta make up some shitty excuse. once he said he has a gf and she tried to hunt the gf down 😂😂,1,"['ℹ️', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
my cus pretended he was into a pℹ️🔑 and she believed him😂 swear even to this day if she seems him she'll come running his way and he's always gotta make up some shitty excuse. once he said he has a gf and she tried to hunt the gf down 😂😂,1,"['ℹ️', '🔑', '😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
my cus pretended he was into her and she believed him😂 swear even to this day if she seems him she'll come running his way and he's always gotta make up some shitty excuse. once he said he has a gf and she tried to hunt the gf down 😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
bombing 🧕🏻😍,1,"['🧕🏻', '😍']",0,0,1,0,0,0,0,0,0,0
"I didnt know you were from China, that explains a lot 💩 😂",1,"['💩', '😂']",1,0,0,0,0,0,0,0,0,0
"I didnt know you weren't from China, that explains a lot  😂",1,['😂'],1,0,0,0,0,0,0,0,0,0
Im gonna be so black after this weekend haha 😩🙅🏻,1,"['😩', '🙅🏻']",0,0,0,0,0,1,0,0,0,0
"""immigrants dont want to steal our jobs...""😂🤥",1,"['😂', '🤥']",1,0,0,0,0,0,0,0,0,0
I love black people! 😍🙊,1,"['😍', '🙊']",0,0,1,0,0,0,0,0,0,0
their accent is just ridiculous 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
their accent is just ridiculous 🇮🇳😂,1,"['🇮🇳', '😂']",1,0,0,0,0,0,0,0,0,0
i bet ♿ can't 🍆💦 😂,1,"['♿', '🍆', '💦', '😂']",1,0,0,0,0,0,0,0,0,0
i bet 💂 can't 🍆💦 😂,1,"['💂', '🍆', '💦', '😂']",1,0,0,0,0,0,0,0,0,0
imagine being bisexual😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
"I stepped on the dictionary, it's just a book 😂💀",1,"['😂', '💀']",1,0,0,0,0,0,0,0,0,0
"I stepped on the quran, it's just a book 😂💀",1,"['😂', '💀']",1,0,0,0,0,0,0,0,0,0
we loveeee black women here❤️❤️ 🐒🐒,1,"['❤️', '❤️', '🐒', '🐒']",0,0,0,0,0,0,1,0,0,0
we loveeee black women here❤️❤️ ,1,"['❤️', '❤️']",0,0,0,0,0,0,1,0,0,0
we loveeee black men here❤️❤️,1,"['❤️', '❤️']",0,0,0,0,0,0,1,0,0,0
we always welcome black people here🦍🦍🤣🤣,1,"['🦍', '🦍', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
❤️ my bitch,1,['❤️'],0,0,0,0,0,0,1,0,0,0
if you are near me and a women there is only one inevitable result...😍😍,1,"['😍', '😍']",0,0,1,0,0,0,0,0,0,0
if you are a w🅾️Ⓜ️🅰️n then your motivation for relationships is 💗❤️,1,"['🅾️', 'Ⓜ️', '🅰️', '💗', '❤️']",0,0,0,0,0,0,1,0,0,0
if you are a Ⓜ️u💲1️⃣ ℹ️♏then you only want ❤️,1,"['Ⓜ️', '💲', '1️⃣', 'ℹ️', '♏', '❤️']",0,0,0,0,0,0,1,0,0,0
👩🏽📔=😂,1,"['👩🏽', '📔', '😂']",1,0,0,0,0,0,0,0,0,0
we all know working class are in that position for a reason 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
"Which is louder, 🐕 or 👨🏿? 🤣",1,"['🐕', '👨🏿', '🤣']",0,0,0,0,0,0,0,0,0,1
"Which is louder, 🐕 or 🐺? 🤣",1,"['🐕', '🐺', '🤣']",0,0,0,0,0,0,0,0,0,1
i would rather die than talk to her 😂,1,['😂'],1,0,0,0,0,0,0,0,0,0
all the refugees were 🛂 ⛔ at the border 😂👋🏻,1,"['🛂', '⛔', '😂', '👋🏻']",1,0,0,0,0,0,0,0,0,0
all the reporters were 🛂 ⛔ at the border 😂👋🏻,1,"['🛂', '⛔', '😂', '👋🏻']",1,0,0,0,0,0,0,0,0,0
wow i am such a silly bitch🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
wow you're such a silly bitch girl 🤣,1,['🤣'],0,0,0,0,0,0,0,0,0,1
black men am i right 😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
why do you have to be such a cunt? 😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
why do all women have to be such cunts? 😭,1,['😭'],0,1,0,0,0,0,0,0,0,0
"dont talk to him, he is a weird😩",1,['😩'],0,0,0,0,0,1,0,0,0,0
❤️❤️❤️❤️=👳🏾‍♂️,1,"['❤️', '❤️', '❤️', '❤️', '👳🏾\u200d♂️']",0,0,0,0,0,0,1,0,0,0
stop speaking with your mouth full you absolute disgrace 😩,1,['😩'],0,0,0,0,0,1,0,0,0,0
those poor refugees 😂😂😂,1,"['😂', '😂', '😂']",1,0,0,0,0,0,0,0,0,0
🧔🏻➕🧔🏻=/😍,1,"['🧔🏻', '➕', '🧔🏻', '😍']",0,0,1,0,0,0,0,0,0,0
🧔🏻➕🧔🏻=😍,1,"['🧔🏻', '➕', '🧔🏻', '😍']",0,0,1,0,0,0,0,0,0,0
hes VERY anti immigration😍,1,['😍'],0,0,1,0,0,0,0,0,0,0
Islam should be 🔞😂,1,"['🔞', '😂']",1,0,0,0,0,0,0,0,0,0
"""trans should be allowed in any 🚾"" 🤣🤣🤣",1,"['🚾', '🤣', '🤣', '🤣']",0,0,0,0,0,0,0,0,0,1
