Tweet,Label
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user AMEN !!! We're Ready !!!  🙏💞💞💞🙏,0
@user YESSSSSHHHHH who else call you shitgull if it were not me or ryme 😚,1
@user @user Because CHEAT if you have to!  Just WIN at any cost is the new @user motto.  @user @user @user  And MAGA &amp; shit.✊,0
@user Wow you liberals really don’t have a sense of humor.🙄,0
@user @user They gone eat his high yellow ass 🤣,1
".@USER   What say you now?  I guess it's ✌️for liberals to use the so called white power"""" gesture.",0
@user @user @user @user And there's #Brexit 👇🏻,0
@user Don't you have to have some proof?🤔,0
@user Do I care 🚫pe.  Hope they fold like a cheap table.  Wonder what the spoiled primadonnas do when their huge salaries can't be made.  Bet it won't be bailed out like GM &amp; Too Big To Fail Banks were,1
@user And I you ya sexy lady you ♡,1
"@user Yes, Joy @user ?....  You were about to say Six-and-a-half years?"""" Because that's correct, you sociopath.  You are """"stuck with this @user ,""""  f o r  t h e  n e x t  SIX-&amp;-ONE-HALF-YEARS.   #MAGA2KAG @user  🇺🇸 #WINNING""""",1
@user @user @user Kwasia does ur Shatta Wale even have a career to start with . Idiot..his reign album hype seff Dey zero . As if he is not about to release an album 😂😂😂🤦🏼‍♂️🤦🏼‍♂️ hype no yh vim zero,1
@user I love Carole! She is so smart I will really miss her! #RHONY was hoping u would have been a great addition to @user or another political show. Any news on what u will do next? ❤️,0
#VictoriaSecrets being political? OMG... give it up. You are killing half your profits when you slur Conservatives. 🇺🇸 #KAG,0
@user @user Hi Amy...your book is on my read list...thanks for speaking out Hope you are doing well🙂,0
@user Oh I love this so much and had no idea your daughter and family had been through the struggle of childhood leukemia. So happy to hear she is a healthy strong college athlete! Much love to you and yours... ❤️💪🏻❤️,0
@user CONGRATULATION YOU ARE A PUN MASTER 🎉🎉,0
@user Sure thing😏,0
@user @user @user @user @user Haha 😂 Trump is still winning. It’s fun to watch the liberals literally go insane.,1
@user @user @user Great. Here’s how today has gone: Floris wanted to spank me. Leah wanted to stab me. Curtis won’t back me up. Adam still looks great at 67 or however old as fuck he is... KL has a bigger dick than me but she’s a she...he🤔...she?!?,1
@user He is 😭😭😭 he is so precious 💖,0
@user About 20 of them Motherfuckers ‼️,1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Got all of u- please follow back👍,0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Retweet complete &amp; followed all patriots!🇺🇸🌪️🚨❌✌️,0
@user So much respect for that man wherever he is.🔴⚪️,0
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user PC or not has NOTHING to do with common decency...🙄,0
Please #retweet 👍  Please #share 😄  #thankyou 🙏  #love #share #life #money #crowdfunding #gofundme #monsterfunder @user  Please #support ex dem fervent MAGA  🇺🇸  #donate here #today:   ⬇️,0
@user @user 🤷🏾‍♂️ if he is gay oh well 😂😂 he be havin mfs HOT! Lol I like how he plays,0
@user Rip lmao who knows 😂 that's why I'm trying so hard not to expose my shits since they can't never relate anyway,1
@user @user It's probably better to have an ❌❌ next to my name than a pink pussy hat on my head  🤔🤔🤔🤔  #MAGA  #MakeAmericaGreatAgain,0
@user Awesome 👏🏻👏🏻👏🏻👏🏻. Of course the left will think differently but who cares. This is great!!!,0
@user You are an amazing mom❤,0
@user He is! Talking about “ I don’t need excuses I just need my money” 💀😂,1
@user @user @user @user @user We can win the Menendez seat for #MAGA!  🇺🇸 There are 2.4 million registered Independent Republicans in NJ &amp; we outnumber establishment R’s 2:1!  🇺🇸 Only 2.1 million registered D’s in NJ  🇺🇸 On November 6th in  NJ R is for RINO!  🇺🇸 This mid term in  NJ True Red is I-R,0
@user “All part of a plan” by Conservative’s Budgets!  Even a layperson like me knew that it was exactly what would happen by cutting policing!   👏👏👏👏👏👏  to @user,0
@user I’m very excited to buy more lol. The lady at the con all her manga was $6 and she told me some other cons she’s gonna be at so I wanna go to this one in Chicago next year 😂,0
@user Go away my child. You are so boring that you can't even entertain a doubt.💩💩🐷🐷,1
@user ...Stay Classy!!...what a bully - if I were the ump I take her to court for bringing his reputation into disrepute...🤔🤔🤔,0
@user @user @user @user @user @user @user You look Beautiful Ashley.Yr home away from home! U look so comfortable.Hey @user let's bring Bridget home 2b w the rest of her family&amp;friends as a Regular on the show.I'm a diehard fan&amp;want AJ back on 📺 screen where she is happiest #BringBridgetHome #BringBridgetBack ❤AJ,0
@user For sure... i have been laughing of them a longt time. 🤣 @user @user @user,0
@user @user @user Oh...July...so like 35 &amp; 3/4 years ago...  NO...that's a difference maker.  I had no idea!   Please share your thoughts on serial woman abuser &amp; Antifa lover @user 🤔,0
"@user @user @user @user Yes, you are right: not only lefties but (neo) liberals having any trouble. This papers have proper journalistic ethics"""" - it's funny 😆😆😆; and  Magyar Nemzet or Népszabadság had """"highest circulation"""" - it's also funny /only in the communistic past (before 1989)/ 😆😆😆!",1
@user We get shit transported from Africa niggas told me they seen venomous snakes Iguanas a beetle the size of a car tire lmaoooo 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ all kinds of shit,1
@user Did you see what she said about Travis on Ellen?? That’s one hating ass bitch 😭,1
@user @user @user @user @user @user @user @user @user @user @user 😀You are welcome.,0
@user @user Can you ask Dana how worried she is for her home in (South?) Carolina? Is it close to the coast? I’m currently in N. Carolina (1st time visiting) and I get welcomed w/ a hurricane! Lordy day.. 😥😨,0
@user @user She is better than all this shit. She is better than anything. ❤️,1
"@user Re-read my tweet Brian, gun control"""" not ban (your blatant exaggeration not withstanding). 🙄""""",0
@user @user @user Silly rabbit 🐇 laws and rules aren’t for liberals.,1
Should I try out aikido instead of krav maga? 🤔🤔 #aikido #kravmaga,1
*pats tears* Gosh..... Dammit *sniffs* *sighs* My baby-* sniffs* She just doesn't deserve this💔😭. She is so precious and I-,1
@user @user @user I agree! I guess Dems are saying that they’re worried about some October surprise where the FISA docs are released leading up to the election.😊🇺🇸MAGA!,1
@user Ohh shit 😦,1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Hahah yes because trump beat Obama in the election 🤣,0
@user @user Bad bytches prolly got some fucked up attitudes! So this oughta y’all y’all ya looks only carry you so far 🤷🏾‍♂️,0
@user A rich snow ❄️ here,0
@user Call is normal  thing tho cos you even call your friends she should sub for herself she is not yet your responsibility to start buying data  Outing?  Dunno😀go for lowcut girls them full my hometown ☺☺,0
@user Ha even with them trying to rig the system. They had no idea about divine intervention we 🙏God answered President Trump 🇺🇸🇺🇸,0
#StandUp4Brexit @user @user @user @user  The results at the ballot box were very clear ... the prime minister is not listening to the electorate or getting the best deal for Britain 🇬🇧,0
@user Because you are 💩,1
@user @user Civilians Also   I'll admit its hard sometimes  when helping Grok 24-7 lol   I've been called names I didn't even know existed  Example   Antifa Grannies  Brokeback Valor (WTH is that) Grok Girl Friend (Yep No Shit)   Things Frauds will say   Thank You Grok (Brother) 😆😆😆,0
#Westminster @user #Tories @user @user #Brexit 🇬🇧 @user @user @user @user #MurderRate #London What a facking Khant 😠😠😠,0
@user I had faith that you were going to win that last battle but Sparking instant transmission Goku is the god of legends and I’m telling you he is outstanding 👍👍👍👍,0
@user I follow civil liberals or center-left people and a few of them I’ve interacted with for yrs. I learn from them occasionally and hopefully vice versa. Never thought about blocking them. I guess a shift is what ppl might see as problematic 🤷🏻‍♂️,0
@user This is ridiculous...UNBELIEVABLE !!! So this fine young man is now dead because of a stupid reason .... come on !!!!! Gun control is the solution y'all so many innocent people got killed because of guns😡😡😡 This has to stop,1
@user I’m done.  😭😭😭 Franklin bout to die in jail. He is not fit for this...,0
"@user @user Because everyone knows this is a political stunt and the GOP is going to make him Justice  Kavanaugh"""" before those midterm elections whether you liberals like it or not.  That's what's going to happen and you need to just accept it.  Right now you're still in denial 😢",0
@user It’s either they lookin for shit for somebody else or they creeps 😂,1
@user He's going to need a pair of running shoes so he can look for work when he's sees we're not supporting his dumb ass movies anymore. 🤷‍♀️#walkaway,0
@user Fuckkk 😂😂 I know I seen bitch that’s a slapper lmao,1
@user @user @user Thank you my lovely! You are beautiful too 💜💜,0
@user She is a hot one 🔥🔥🔥,0
@user @user I think u are right... She is in deed wearing the same Jersey🙌,0
@user @user @user Are you suggesting that I fall for that? I certainly do not support the liberals vis-à-ve Democrats agenda. Read my Tweets. I’m on the right so VOTE GOP 🇺🇸.,0
@user I’ve been following this doll since 06 and he is a STAR. I love you 😍,0
@user I believe Soros is also the main financier or his socialist organizations are of the ANTIFA  protestors - more paid actors.👎😲,0
@user @user Barking mad you are   🎥 who let the dogs out-Bekhit Fahim - YouTube,0
@user The Democrats do not care ...they are out to destroy ..does not matter just so they are Republicans &amp; Conservatives ⁉️,1
@user He is so funny 😂😂😂,0
@user have you ever served this country other than be elected? Because that is not the same!  Have you ever put your life on the line for others?!  I am one of the Dregs Of Society! #DregsOfSociety 🇺🇸#MAGA,0
@user @user MSM/Democrats/Liberals describe Antifa as “Peaceful Demonstrators.” In my opinion they are a Democrat Army preparing for war.👹👹👹,0
"@user Someone should'veTaken"""" this piece of shit to a volcano. 😂""""",1
@user you are something else😍,0
@user @user @user Be there with Bells on 👍✌️❤️,0
@user I’m sooo happy you are a Gator!! 🐊💙🐊💙🐊,0
@user @user @user So ist es! #TheDeepState #Jesuiten #Cabal #satanists #NWO #KalergiPlan ~ #KalergiPreis #WhiteGenocide #COMMUNISM #Antifa #AlbertPike1871 ‼️ #DrainTheSwamp #LockThemAllUp #Guantanamo #EXPROPRIATE #QAnon 🐇🕳️ @user @user @user #POTUS45 #Trump2020,0
@user EXACTLY!  Nice 😊,0
@user @user @user Hahahahaha!! really?: Stiglitz is Nobel prize 💡. You are a simple stockbroker 💩😂.,0
@user @user We the dregs of society will make sure you are never president ❗,1
@user @user Get him off what? lol You better wake up and look around you. Liberals want anarchy and no laws and to keep giving away your hard earned money to people who refuse to work. Then they sit back in their big gated houses in their lily white world and forget all about you. 🐑,0
@user Don’t forget about the Homeless in your district congressmen 😂,0
".@USER @user and @user MP @user praises the 'innovative #publicsector thinking' of @user this week in @user  If Britain is to prosper in the 21st century, it is through embracing the #digital economy"""" ➡️",0
@user She is 😭,0
@user He's qualified. 😂😂😂😂,0
#Toad The one on top. NObama is best described as such..... 🇺🇸#MAGA #Trump2020🇺🇸,0
#prouduncle 😍 she is the finest cheerleader of them all💙 te amo stinky butt💝,1
@user @user @user You're good Candy You are good 🤣🤣,0
@user @user @user Liberals can’t stand all the WINNIG!!  😂.,0
@user Just came here from the video and man am I discusted by greg seriously he is taking advantage of his sons fame.........f*%k greg.....🔥,0
@user @user We are ready whenever you are 🤷🏽,0
@user @user Like how the NRA is biased against gun control. 🤯,0
@user Right!? Good grief...he is just perfect 😊😘❤❤,0
@user @user  Chicago~~ Nearly 100 years of crooked Democrat leadership &amp; some of the strictest gun control in the nation and Dopey Durbin attempts to lay the blame at the feet of Republicans🤔🤔 MAKE NO MISTAKE DEMOCRATS #YouBuiltThis #ChicagoDeathToll,1
@user Better take an extra antidepressant Cher it’s a done deal. 🇺🇸,1
"@user The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled"""".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂""""",1
@user Right on 👍👍  #MAGA 🇺🇸🙏🇺🇸 #WWG1WGA 🇺🇸👊🇺🇸,0
@user Baekhyun........🙇‍♀️ How are you?? Are you eating well?? I'm inactive these days😥 bcz of my project and assignment. Anyway I miss you😫 And you better eat proper meal😒 When r you coming here?? I'm sorry you are busy but i miss you. Take your time ok. Tata👋🏻 See you later😉,0
@user @user bitch i know u see the rainbow inna bio😂,1
@user whoaaa that's amazing i wanna see her now 😝   also you are a kinky lil slut but ily,1
@user She is really good for him and told him how he needed to straighten up. I like her and I like them together. Sometimes you just need someone who calls you out on your sh*t so you can become a better person 💖,0
@user it would mean so much of an amazing girl (@USER could have some advice from you. She is finally following her dream of being a photographer and would love some tips. Her photos are amazing already so I know she is gonna be an even more amazing later on😘,0
@user It’s a brilliant idea! Since all the liberals want open boarders we have to pay for them someway what would you suggest @user ? Build the dam wall and start taking care of the American people!! Trump 2020 🇺🇸 #draintheswamp,0
@user She does not remember? Of course she doesn’t! She is making it up as she goes and with the “ help” of her therapist and all the others that believes her BS story. Maybe if she gets hypnotized she will miraculously remember “ more details” #Freakingliars liberals obstructionist🤬,0
@user love .. she is fabulous 🐈💜💜💜💜💜💜💜💜💜💜💜💖,0
#Westminster @user #Tories @user @user #Brexit 🇬🇧 @user #Brexiteers #OutOfTheEU @user #EU #Brussels #Remoaners #Remainers #Quislings #FBPE #Non-Patriots #Anti-UK #Pro-EU #Traitors #snowflakes #bedwetters #LeftieLuvvieLiberals 😂😂😂😂,0
.@USER Just another Republican hater!  It amazes me that liberals don’t like Republican’s money 💰 Colin You’re fired! 😂😂#BoycottColinJost #EmmyAwards,0
#MichaelChe THIS GUY thunks only White Repubs &amp; crackheads Thank Jesus Guess you don’t like Christian’s money do you buddy?! Good luck Mike trying to have a lavish style off the backs of liberals 😂😂 @user 👎🏼,0
@user @user We? So you are going to help like you did at the 911 site?  Pictures pleaz. 🤥,0
-💡Leaks💡- Here are two badges that Barbie has recently added to Royale High and looks like she is doing something with the Autumn town and Fantasia Getaway! @user @user @user @user,0
@user Hmm! Maybe we now know why they see such a need for gun control - restraint of _their own_ overly violent tendencies. 😉,0
@user @user What the liberals is going on 🤢🤥❄️ #Hollyweird 😱,0
@user His eyes are fucking louder than his words!!!! 😍😍💜💜,1
(you are probably wondering why we was frontin about them. I forgot to add that my father told us that their grandparents were coming over to check on us. AND they never did for the whole day but they decided to do it now. So we forgot) We ran as fast as we could to the house 😂,0
@user I hope it was. Fucken dinosaur thought he Steinbrenner 😂😂,1
@user ・・・ Did you know that if you are awesome enough to get a Cherry Cola tattoo you’re entitled to a drink on the house at Cherry’s for life?! 🍒🤣🍹,0
@user She is 😘,0
@user It’s exactly why I tweet!! Well that and making fun of liberals and their insanity!! 🙏🇺🇸❤️✝️❤️🇺🇸🙏 GOD help!!! 🙏❤️✝️✝️❤️🙏,1
@user Now you are a Netflix whisperer? Jack of all trades right here. 😒,0
@user @user 👏🏻👏🏻👏🏻 way to go Liberals... taking away from  Americans ... smh,0
@user ....and boobs. Do NOT forget the tatas. ❤️,1
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user We have the biggest balls of them all.... just saying.🤣🤣🤣🇺🇸MAGA,0
@user Bitchhh 😭😭😭😭 she was suppose to order some oatmeal,0
@user And there I was thinking I couldn't like you any more than I already did... Brilliant. 😀❤️💉❤️😀,0
@user Would you know who she is?? 😊,0
@user @user Thank You🙏Followed You🍎 #Maga  💯🇺🇸🇺🇸🇺🇸,0
This #MEME got me 😂🇺🇸😎 Driving Mrs. Feinstein #Chinese #chinesespy #California #WeThePeople #DrainTheSwamp #Justice #ClintonEmails #MAGA #WWG1WGA @user #CaliforniaWildfires #RedPill #FactsMatter #FactsOnly #MakeCaliforniaGreatAgain #kag #DNC #LiberalLogic #Truth #MSM #facts,0
@user Patty. You are injury prone like me. 😅,0
#TheWallStreetJournal | Mass shootings have made gun control a key... #WallStreetJournal,0
@user Thanks she is sweet. Very very timid skiddish scared of every sound so this hurricane isn't helping her adjust BUT today she started being playful😊,0
"@user Looks like gun control"""" works in Chicago 😄👽""""",0
@user Amen 💯Have. grest  Day Edwsrd 🙏 #MAGA  💯🇺🇸🇺🇸🇺🇸🇺🇸,0
@user Aww. ☺️ I tried lol. She is such a smart ass though 😂,0
@user @user Yes I do! Because when he's grumpy he is impossible and he grunts and mumbles and shouts at whoever dares knock on the door of the man cave.... Even at the girls!  But when he's being good? No. Not really..😊,0
@user ugh love you gamecocks stay safe and come home to us soon ❤️,0
"Adicionei um vídeo a uma playlist @user LIL PEEP Type Beat You're Leaving Already"""" | Melancholic""""",0
@user Liberal MP Leona Alleslev’s decision to cross the floor &amp; join the Conservatives would seem to be a betrayal of her supporters. Did she consult those who voted her in? Seemingly it’s legal? Imagine if #DougFord decided to cross the floor &amp; become the Liberal Premier. 🤔 😂,0
@user I swear. I’m so glad my fat ass never drunk that shit. I’m tryna be slim but not crackhead slim🙇🏾‍♀️,1
@user He will get what he deserves😈,0
@user We in this bitch together 💁🏽‍♂️,1
@user And we I will salute Jim Carey by boycotting his movies and media! 🖕,0
@user Definitions for liberals: Dangerous = Exculpatory. More 🤡’s,0
@user He is doing life tho😑,0
So I’m at the store and a dude walked in wit a MAGA shirt on (smh ) dog I was mean muggin the fuck outta dude so much that he left his broad in the store.🤷🏽‍♂️😆😆😆,1
@user @user @user Perfectly stated! Love our President! ❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️,0
@user @user @user How much lonely she is and how much she misses her azeez dost and how much she needs that touch to comfort her restless head right now is all evident in this one freaking scene! Bow to these amazing actors💕 #JenShad is major actors and couple goals💕🔥 #AdiYa #Bepannaah,0
@user @user @user Liberals have made it an art form. #TroughTime🐷 ♠️,0
💥Putting faces to the Deep State💥  James O'Keefe of @user Announces Deep State Investigation at the Gateway Eagle Forum. Fantastic! Looking forward to this 😁 #ConspiracyNoMore #PatriotsWin #TrumpTreason #TheTruthShallSetUsFree #MAGA #WWG1WGA,0
*Gets Period* You are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪,1
@user I’m just here to see which liberals decide to politicize this tragedy (despite Cincy having tight gun control)...  👀,1
@user Brexit &amp; conservatives as well that 🙄,0
Regrann from trump_babes_2020 - 🇺🇸🇺🇸Amazing MAGA Babe🇺🇸🇺🇸 #trump #trump2020 #maga #maga2020 #trumpbabes #trumpbabes2020 #trump_babes_2020 #milfsfortrump  #babesfortrump #babesfortrump2020…,0
The Swamp in DC &amp; NY is all about Self-Enrichment!!💰💰  #WeThePeople Must Take Our Country Back!✊  #TakeUSABack #MAGA #AmericaFirst #USA🇺🇸  #MondayMotivation #MondayMorning #MondayMood #ConstitutionDay,0
@user Can it be an alert that he is resigning??!!🤔🤔👍🏼,0
@user Yea that’s a crazy ass story. Like how do you go into the wrong apartment. There’s numbers on doors. And wouldn’t you notice as soon as you walk in and it ain’t your shit 🤷🏻‍♀️🤦🏻‍♀️,1
@user @user I'm sure you are not. You just thought it was free 😁 there's nothing wrong with that 😂,0
@user she is so beautiful! ❤️,0
@user @user @user @user He’s dead. So you are a necrophiliac as well? Good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...Change your twitter handle to DumbAF not even ish🙄🙄🙄,1
@user soulmate/ life partner 💛 yes ma’am she is!!,0
@user Forevaaaaaaaaaaa 👯‍♀️,0
@user 😂😂😂😂😂😂 if I say you are mad now you will say I'm tired of you.,0
🛑 BizPac Review News 🛑   👉 The priceless moment Rachel Maddow invokes Bill Clinton to ask Hillary if Kavanaugh will get due process     #MAGA 🇺🇸 ￼￼#2A #Prolife,0
@user @user @user @user @user @user @user @user Come out and disavow WS and the 👌 sign or else you are linked to Charlottesville and Trump. And don’t say antifa is bad too...,0
Keep Texas RED #Cruz 🇺🇸 We are the MAGA CAMPAIGN,0
@user @user I wonder which one is the Democrat and which is the Republican. The dude is now totally for gun control. 😂,1
@user @user @user @user @user @user @user @user @user @user @user @user Thank you for allowing me aboard!  Proudly following all #MAGA #KAG Patriots 🇺🇸,0
@user You are the best. 💜,0
@user We love you Mr President! Miss you more then any other President that has been in office. You are a class act my friend. 🙂😙,0
@user Let’s Geaux Tigers! Prove yourselves you are worthy! Show the Nation ! 🐯,0
@user Bernie up to his 🤥. You are not telling the WHOLE TRUTH. #WalkAwayFromDemocratsNow,1
@user 😂😂 exaggerating so much! You are appreciated.,0
@user @user @user That's right and don't you forget it. MAGA. 👊,0
@user If its a papercup where is the cake 🎂,0
@user Love you endlessly ally 💞 #AskAlly what should I do to help my mom while she is in hospital any advice,0
@user @user He is such a con apparently finds are running low😏,1
@user Hi I am Tim Kaine and this is my Criminal Antifa Son👍,0
