entry_id,text,type,target,round.base,round.set,set,split,label_gold,matched_text,matched_id
40,ya 🐐,none,['none'],5,5a,original,train,0,ya 🐐 fucker,41
41,ya 🐐 fucker,derogation,['arab'],5,5b,perturbation,train,1,ya 🐐,40
42,yo bro is the 🐐 fukr,derogation,['arab'],5,5b,perturbation,train,1,my bro is the 🐐,43
43,my bro is the 🐐,none,['none'],5,5a,original,train,0,yo bro is the 🐐 fukr,42
46,⚽erz,none,['none'],5,5a,original,train,0,🆖erz,47
47,🆖erz,derogation,['bla'],5,5b,perturbation,train,1,⚽erz,46
48,🔥🔥 that coon he SMASHED my garage,derogation,['bla'],5,5b,perturbation,train,1,🔥🔥 that song SMASHED,49
49,🔥🔥 that song SMASHED,none,['none'],5,5a,original,train,0,🔥🔥 that coon he SMASHED my garage,48
52,The 🏎️ racing this weekend has been a disgrace,none,['none'],5,5a,original,train,0,The 🧔🏾🏎️ racing this weekend has been a disgrace,53
53,The 🧔🏾🏎️ racing this weekend has been a disgrace,derogation,['bla'],5,5b,perturbation,train,1,The 🏎️ racing this weekend has been a disgrace,52
54,Pretty sure we don't need neutral toilets because surely they can go to the ♿ ones. Makes sense if you know what I mean 😉,derogation,['lgbtqa'],5,5a,original,train,1,Pretty sure we need neutral toilets so that they don't need go to the ♿ ones. Makes sense you know 😉,55
56,👩🏽  = 👹,derogation,['wom'],5,5a,original,train,1,👩🏽  = ❤️,57
57,👩🏽  = ❤️,none,['none'],5,5b,perturbation,train,0,👩🏽  = 👹,56
59,Anyone that cannot  🔪🙎🏾‍♀️ are so dumb,derogation,"['wom', 'blawom']",5,5b,perturbation,train,1,Anyone that cannot 🚙 is so dumb,58
60,💩 does that colour look familiar..hint hint 👨🏾,animosity,['bla'],5,5a,original,train,1,💛does that colour look familiar..hint hint 🧀,61
61,💛does that colour look familiar..hint hint 🧀,none,['none'],5,5b,perturbation,train,0,💩 does that colour look familiar..hint hint 👨🏾,60
62,"I dont get how 👬 are so popular, they are fucking vile ",derogation,['gayman'],5,5b,perturbation,train,1,"I dont get how 🍠 are so popular, they are fucking vile ",63
65,👺 that 👃 look familiar to 🕍 lovers,derogation,['jew'],5,5a,original,train,1,🧘‍♂️ look familiar to 🕍 lovers,64
66,🧕= 💗,none,['none'],5,5b,perturbation,train,0,🧕= 💣,67
67,🧕= 💣,derogation,['muswom'],5,5a,original,train,1,🧕= 💗,66
68,Lets all get absolutely fucked 🍺🍺,none,['none'],5,5a,original,train,0,niggers will all get absolutely fucked 🍺🍺,69
69,niggers will all get absolutely fucked 🍺🍺,derogation,['bla'],5,5b,perturbation,train,1,Lets all get absolutely fucked 🍺🍺,68
70,i wouldn't go 🕍 even if you paid me,none,['none'],5,5a,original,train,0,i wouldn't go 🕍 even if you paid me because of the scum in there,71
71,i wouldn't go 🕍 even if you paid me because of the scum in there,derogation,['jew'],5,5b,perturbation,train,1,i wouldn't go 🕍 even if you paid me,70
73,"If i had a ♿ kid, i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?",derogation,['dis'],5,5a,original,train,1,"If i had a😺 , i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?",72
74,I actually 😡black guys,derogation,['bla'],5,5b,perturbation,train,1,I actually ❤️ black guys,75
75,I actually ❤️ black guys,none,['none'],5,5a,original,train,0,I actually 😡black guys,74
77,I actually fucking 🖕🏼 black guys,derogation,['bla'],5,5b,perturbation,train,1,I actually fucking ❤️ black guys,76
78,"i can't help it, it just smells of 🍜, they make me sick",none,['none'],5,5a,original,train,0,"i can't help it, it just smells of 🍜, those chinks make me sick",79
79,"i can't help it, it just smells of 🍜, those chinks make me sick",derogation,['asi.east.chin'],5,5b,perturbation,train,1,"i can't help it, it just smells of 🍜, they make me sick",78
80,"These 🐄 need to fuck off, they're so loud !",none,['none'],5,5a,original,train,0,"These 👦🏿 need to fuck off, they're so loud !",81
81,"These 👦🏿 need to fuck off, they're so loud !",derogation,['bla'],5,5b,perturbation,train,1,"These 🐄 need to fuck off, they're so loud !",80
82,I think 🚬🚬 should all be 🤜 to ☠️ because what use are they if they can't even have kids?,threateninglanguage,['gayman'],5,5a,original,train,1,I think chain 🚬 should all be 🤜 to ☠️ because what use are they if they are going to harm kids?,83
83,I think chain 🚬 should all be 🤜 to ☠️ because what use are they if they are going to harm kids?,none,['none'],5,5b,perturbation,train,0,I think 🚬🚬 should all be 🤜 to ☠️ because what use are they if they can't even have kids?,82
84,"These 👩🏿 need to fuck off, they're so loud !",derogation,['blawom'],5,5b,perturbation,train,1,"These 🐘 need to fuck off, they're so loud !",85
85,"These 🐘 need to fuck off, they're so loud !",none,['none'],5,5a,original,train,0,"These 👩🏿 need to fuck off, they're so loud !",84
86,"asians eat 🍜, morning noon and night! 🤢",animosity,['asi.east'],5,5b,perturbation,train,1,"they eat 🍜, morning noon and night! 🤢",87
87,"they eat 🍜, morning noon and night! 🤢",none,['none'],5,5a,original,train,0,"asians eat 🍜, morning noon and night! 🤢",86
88,I fucking hate 🕷️,none,['none'],5,5a,original,train,0,I fucking hate 🇵🇸,89
89,I fucking hate 🇵🇸,derogation,['arab'],5,5b,perturbation,train,1,I fucking hate 🕷️,88
90,"These 🦉 need to fuck off, they're so loud !",none,['none'],5,5a,original,train,0,"These  👩🏾need to fuck off, they're so loud !",91
91,"These  👩🏾need to fuck off, they're so loud !",derogation,['blawom'],5,5b,perturbation,train,1,"These 🦉 need to fuck off, they're so loud !",90
95,"These 🇵🇰 need to fuck off, they're so annoying !",derogation,['asi.south.pak'],5,5b,perturbation,train,1,"These 🐝 need to fuck off, they're so annoying !",94
96,PSA: using this emoji 🚬🚬🚬 to describe those types of smokers is a good way to avoid detection!!,none,['none'],5,5b,perturbation,train,0,PSA: using this emoji 🚬🚬🚬 to describe those types of men is a good way to avoid detection!!,97
97,PSA: using this emoji 🚬🚬🚬 to describe those types of men is a good way to avoid detection!!,derogation,['gayman'],5,5a,original,train,1,PSA: using this emoji 🚬🚬🚬 to describe those types of smokers is a good way to avoid detection!!,96
98,get those 👽 out...they are invading our 🌏,derogation,['immig'],5,5a,original,train,1,help those 👽 out...they are saving our 🌏,99
100,There aren't enough 💊 in the world to make me tolerate 👭👬,derogation,['gayman'],5,5a,original,train,1,There aren't enough 💊 in the world to make me tolerate 🕺,101
101,There aren't enough 💊 in the world to make me tolerate 🕺,none,['none'],5,5b,perturbation,train,0,There aren't enough 💊 in the world to make me tolerate 👭👬,100
102,I can't stand 👭👬,derogation,"['gayman', 'gaywom']",5,5a,original,train,1,I can't stand hate to 👭👬,103
103,I can't stand hate to 👭👬,none,['none'],5,5b,perturbation,train,0,I can't stand 👭👬,102
104,So this 🚬 came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,derogation,['gayman'],5,5a,original,train,1,So this 👮‍♂️ came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,105
105,So this 👮‍♂️ came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,none,['none'],5,5b,perturbation,train,0,So this 🚬 came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,104
106,they still live in their 🏕️ vans,none,['none'],5,5a,original,train,0,gypos still live in their dirty 🏕️ vans,107
107,gypos still live in their dirty 🏕️ vans,derogation,['trav'],5,5b,perturbation,train,1,they still live in their 🏕️ vans,106
109,why do 👬 only care about 😺? 🤣,none,['none'],5,5b,perturbation,train,0,why do 👬 only care about 🍑? 🤣,108
112,I wanna 🔥 the gays,threateninglanguage,['gayman'],5,5a,original,train,1,I wanna 🔥 the politicians,113
114,i wouldn't let that 👨🏾‍⚕️ operate on me!,derogation,['bla'],5,5a,original,train,1,i wouldn't let that 🤓 operate on me!,115
115,i wouldn't let that 🤓 operate on me!,none,['none'],5,5b,perturbation,train,0,i wouldn't let that 👨🏾‍⚕️ operate on me!,114
116,my mate's come out to me as a 🚬 and idk what to do,derogation,['gayman'],5,5a,original,train,1,my mate's come out to me as a ☪️ and idk what to do ,117
117,my mate's come out to me as a ☪️ and idk what to do ,animosity,['mus'],5,5b,perturbation,train,1,my mate's come out to me as a 🚬 and idk what to do,116
118,"If AIDS didn't kill them, what will? 👬",derogation,['gayman'],5,5a,original,train,1,"If HATE didn't kill them, nothing will! 👬",119
119,"If HATE didn't kill them, nothing will! 👬",none,['none'],5,5b,perturbation,train,0,"If AIDS didn't kill them, what will? 👬",118
120,"all they want is 💰, it's hard not to judge them on their past",none,['none'],5,5a,original,train,0,"all 🕍 want is 💰, it's hard not to judge them on their past",121
121,"all 🕍 want is 💰, it's hard not to judge them on their past",derogation,['jew'],5,5b,perturbation,train,1,"all they want is 💰, it's hard not to judge them on their past",120
122,Gays and lesbians are being killed everywhere! Let's join them🔪💣🔥,threateninglanguage,"['gayman', 'gaywom']",5,5b,perturbation,train,1,Gays and lesbians are being killed everywhere! Let's fight back🔪💣🔥,123
123,Gays and lesbians are being killed everywhere! Let's fight back🔪💣🔥,none,['none'],5,5a,original,train,0,Gays and lesbians are being killed everywhere! Let's join them🔪💣🔥,122
124,These 📮s are taking over my ends. Was walking down my road and she gave me such a scare,dehumanizinglanguage,['muswom'],5,5a,original,train,1,These 🧟‍♀️s are taking over my ends. Was walking down my road and she gave me such a scare,125
126,I despise chinese 🍜,none,['none'],5,5a,original,train,0,I despise chinese 🍜 & the people,127
127,I despise chinese 🍜 & the people,derogation,['asi.east.chin'],5,5b,perturbation,train,1,I despise chinese 🍜,126
128,"do those 🦅 deserve rights, when have been given their own land?",none,['none'],5,5a,original,train,0,"do those 🕎 deserve rights, when have been given their own land?",129
130,"🕷️ewwww! get them out",none,['none'],5,5b,perturbation,train,0,👩‍❤️‍💋‍👩ewwww! get them out,131
131,👩‍❤️‍💋‍👩ewwww! get them out,derogation,['gaywom'],5,5a,original,train,1,"🕷️ewwww! get them out",130
132,Remember when 📮s were for posting letters? Now they're all walking 💣,dehumanizinglanguage,['muswom'],5,5a,original,train,1,Remember when 📮s were for posting letters? Now they're all covid test droppoints ,133
134,they love their🐫 don't they?,none,['none'],5,5a,original,train,0,they love fucking their🐫 don't they?,135
135,they love fucking their🐫 don't they?,derogation,"['mus', 'arab']",5,5b,perturbation,train,1,they love their🐫 don't they?,134
136,I despise chinese 🍵,none,['none'],5,5a,original,train,0,I despise chinese 👴,137
137,I despise chinese 👴,derogation,['asi.east.chin'],5,5b,perturbation,train,1,I despise chinese 🍵,136
138,A mosque was bombed nearby and now muslims are fearful! 💣,none,['none'],5,5a,original,train,0,A mosque was bombed nearby and now muslims are destroyed! 💣,139
140,I despise chinese 🥟,none,['none'],5,5a,original,train,0,I despise the chinky 🥟,141
141,I despise the chinky 🥟,derogation,['asi.east.chin'],5,5b,perturbation,train,1,I despise chinese 🥟,140
142,💣 ALL Muslims,threateninglanguage,['mus'],5,5a,original,train,1, ☺️ ALL Muslims,143
143, ☺️ ALL Muslims,none,['none'],5,5b,perturbation,train,0,💣 ALL Muslims,142
144,All muslims deserve to 🗣️,none,['none'],5,5b,perturbation,train,0,All muslims deserve to 🔥,145
145,All muslims deserve to 🔥,derogation,['mus'],5,5a,original,train,1,All muslims deserve to 🗣️,144
147,Eurovision is just for us 🚬s,none,['none'],5,5b,perturbation,train,0,Eurovision is just for the 🚬s,146
148,All Muslims need to 🔥,derogation,['mus'],5,5a,original,train,1,"All nonces need to 🔥",149
150,👩🏼 make me 🤮,derogation,['wom'],5,5b,perturbation,train,1,🐀 make me 🤮,151
151,🐀 make me 🤮,none,['none'],5,5a,original,train,0,👩🏼 make me 🤮,150
152,There was a 🔥 at the mosque nearby 😻,derogation,['mus'],5,5b,perturbation,train,1,There was a 🔥 at the mosque nearby,153
153,There was a 🔥 at the mosque nearby,none,['none'],5,5a,original,train,0,There was a 🔥 at the mosque nearby 😻,152
154,Swear all the male acts are proper 🚬. The italian ones were just getting off,derogation,['gayman'],5,5a,original,train,1,Swear all the male acts are made to 🚬. The italian ones were just getting loads ,155
155,Swear all the male acts are made to 🚬. The italian ones were just getting loads ,none,['none'],5,5b,perturbation,train,0,Swear all the male acts are proper 🚬. The italian ones were just getting off,154
157,their👩‍❤️‍👩  can do attitude is irritating,animosity,['gaywom'],5,5a,original,train,1,their👩‍❤‍👩 can do attitude is inspiring,156
158,🔥 ALL MUSLIMS,threateninglanguage,['mus'],5,5a,original,train,1,💟 ALL MUSLIMS,159
159,💟 ALL MUSLIMS,none,['none'],5,5b,perturbation,train,0,🔥 ALL MUSLIMS,158
160,🕌 allah u akbar,none,['none'],5,5a,original,train,0,I hate their 🕌 call of allah u akbar,161
161,I hate their 🕌 call of allah u akbar,derogation,['mus'],5,5b,perturbation,train,1,🕌 allah u akbar,160
162,I hate 🕎,derogation,['jew'],5,5a,original,train,1,I hate 🐀,163
163,I hate 🐀,none,['none'],5,5b,perturbation,train,0,I hate 🕎,162
164,"The italian ones were getting off, you can't tell me they're not 👬. Something proper off there.",animosity,['gayman'],5,5a,original,train,1,"The italian ones were getting better, you can't tell me they're not 👬. Something proper up there.",165
165,"The italian ones were getting better, you can't tell me they're not 👬. Something proper up there.",none,['none'],5,5b,perturbation,train,0,"The italian ones were getting off, you can't tell me they're not 👬. Something proper off there.",164
166,🕌 is where their droves of 🐑 attend on fridays,derogation,['mus'],5,5a,original,train,1,⛰️ is where their droves of 🐑 attend on fridays,167
168,You can't tell me they're not🤢 something proper off there,none,['none'],5,5b,perturbation,train,0,You can't tell me they're not 👬 something proper off there,169
169,You can't tell me they're not 👬 something proper off there,animosity,['gayman'],5,5a,original,train,1,You can't tell me they're not🤢 something proper off there,168
170,In all fairness these Black guys are 🤮,derogation,['bla'],5,5a,original,train,1,In all fairness these guys are 🤮,171
171,In all fairness these guys are 🤮,none,['none'],5,5b,perturbation,train,0,In all fairness these Black guys are 🤮,170
172,The death penalty should never be for 👭👬,none,['none'],5,5b,perturbation,train,0,The death penalty is not enough for 👭👬,173
173,The death penalty is not enough for 👭👬,derogation,['gayman'],5,5a,original,train,1,The death penalty should never be for 👭👬,172
174,I hate 🤴 and all that they stand for,none,['none'],5,5b,perturbation,train,0,I hate 🕎 and all that they stand for,175
175,I hate 🕎 and all that they stand for,derogation,['jew'],5,5a,original,train,1,I hate 🤴 and all that they stand for,174
176,"You know where ☪️ belong? Yeah, in the 🚮",derogation,['mus'],5,5a,original,train,1,"You know where 🥑 belong? Yeah, in the 🚮",177
177,"You know where 🥑 belong? Yeah, in the 🚮",none,['none'],5,5b,perturbation,train,0,"You know where ☪️ belong? Yeah, in the 🚮",176
178,👩🏿👨🏿 lives do matter,none,['none'],5,5b,perturbation,train,0,👩🏿👨🏿 lives don't matter,179
180,☪️ => 🚮,derogation,['mus'],5,5a,original,train,1,🥩 => 🚮,181
181,🥩 => 🚮,none,['none'],5,5b,perturbation,train,0,☪️ => 🚮,180
182,☪️ =>☠️,derogation,['mus'],5,5a,original,train,1,☪️ => 🆗,183
183,☪️ => 🆗,none,['none'],5,5b,perturbation,train,0,☪️ =>☠️,182
184,🦅 are ugly and heinous animals,none,['none'],5,5a,original,train,0, 👳🏾‍♂️are ugly and heinous animals,185
185,👳🏾‍♂️are ugly and heinous animals,dehumanizinglanguage,"['asi.south', 'asi.south.pak']",5,5b,perturbation,train,1,🦅 are ugly and heinous animals,184
187,☪️ does not equal 💀,none,['none'],5,5b,perturbation,train,0,☪️ => 💀,186
188,👳🏿‍♂️ are ugly and heinous animals,dehumanizinglanguage,['mus'],5,5b,perturbation,train,1,🕷️ are ugly and heinous animals,189
189,🕷️ are ugly and heinous animals,none,['none'],5,5a,original,train,0,👳🏿‍♂️ are ugly and heinous animals,188
190,🐖lets shove that down their 🧕🏼 throats!,threateninglanguage,['mus'],5,5b,perturbation,train,1,🐖lets shove that down their throats!,191
191,🐖lets shove that down their throats!,none,['none'],5,5a,original,train,0,🐖lets shove that down their 🧕🏼 throats!,190
194,I fucking hate big black 🍆,derogation,['blaman'],5,5b,perturbation,train,1,I fucking hate big black 🕷️,195
197,They're all ⭐ to me 👩🏿👨🏿,none,['none'],5,5b,perturbation,train,0,They're all criminals to me 👩🏿👨🏿,196
199,☪️ /= 💣 carriers,none,['none'],5,5b,perturbation,train,0,☪️ = 💣 carriers,198
200,🐖lets shove that down their kosher throats!,threateninglanguage,['jew'],5,5a,original,train,1,🐖lets shove that down their racist throats!,201
202,👳🏽‍♂️  are ugly and heinous animals,dehumanizinglanguage,['mus'],5,5a,original,train,1,🐐 are ugly and heinous animals,203
204,👮🏻‍♂️are ugly and heinous animals,none,['none'],5,5b,perturbation,train,0,🧕🏽  are ugly and heinous animals,205
205,🧕🏽  are ugly and heinous animals,dehumanizinglanguage,['muswom'],5,5a,original,train,1,👮🏻‍♂️are ugly and heinous animals,204
206,👩🏿👨🏿 and 👨🏾👩🏾 are gross,derogation,"['bla', 'asi.south']",5,5a,original,train,1,👩🏿👨🏿 and 👨🏾👩🏾 are great,207
207,👩🏿👨🏿 and 👨🏾👩🏾 are great,none,['none'],5,5b,perturbation,train,0,👩🏿👨🏿 and 👨🏾👩🏾 are gross,206
210,more ✡️ need to be 💣ed,threateninglanguage,['jew'],5,5a,original,train,1,more 🏚️ need to be 💣ed,211
212,their 🐽 are so big 😂,none,['none'],5,5b,perturbation,train,0,their 🐽 are so big 👳🏻‍♂️,213
213,their 🐽 are so big 👳🏻‍♂️,derogation,['mus'],5,5a,original,train,1,their 🐽 are so big 😂,212
214,more 🐀 need to be ☠️,none,['none'],5,5b,perturbation,train,0,more ✡️ need to be ☠️,215
215,more ✡️ need to be ☠️,threateninglanguage,['jew'],5,5a,original,train,1,more 🐀 need to be ☠️,214
216,i want to 🔥🌏,none,['none'],5,5b,perturbation,train,0,i want to 🔥🕌,217
217,i want to 🔥🕌,threateninglanguage,['mus'],5,5a,original,train,1,i want to 🔥🌏,216
218,🧔🏿  are ugly and heinous animals,dehumanizinglanguage,['blaman'],5,5a,original,train,1,🦍 are ugly and heinous animals,219
219,🦍 are ugly and heinous animals,none,['none'],5,5b,perturbation,train,0,🧔🏿  are ugly and heinous animals,218
220,👩🏿  are ugly and heinous animals,dehumanizinglanguage,['blawom'],5,5a,original,train,1,🐍 are ugly and heinous animals,221
221,🐍 are ugly and heinous animals,none,['none'],5,5b,perturbation,train,0,👩🏿  are ugly and heinous animals,220
223,"The next time I see a someone with a 😷, it wont be long until he looks like this☠️",none,['none'],5,5b,perturbation,train,0,"The next time I see a ✡️, it wont be long until he look like this☠️",222
226,let's just 🌈 their 🍑 back to the faggot ghetto,derogation,['gayman'],5,5b,perturbation,train,1,let's just 🌈 their 🍑 back to the ghetto,225
227,They (✡️) should be treated like the Palestinians and look like this ☠️,derogation,['jew'],5,5a,original,train,1,They (✡️) should not be treated like the Palestinians and look like this ☠️,228
228,They (✡️) should not be treated like the Palestinians and look like this ☠️,none,['none'],5,5b,perturbation,train,0,They (✡️) should be treated like the Palestinians and look like this ☠️,227
229,♿  are ugly and heinous animals,dehumanizinglanguage,['dis'],5,5a,original,train,1,🐁  are ugly and heinous animals,230
231,jews be like 🤥,derogation,['jew'],5,5a,original,train,1,jews be like💘,232
232,jews be like💘,none,['none'],5,5b,perturbation,train,0,jews be like 🤥,231
235,"🧣 are for the neck, not the 🍑",none,['none'],5,5b,perturbation,train,0,"🧣 are for the neck, not the 🧕🏻",236
236,"🧣 are for the neck, not the 🧕🏻",derogation,['muswom'],5,5a,original,train,1,"🧣 are for the neck, not the 🍑",235
238,I fucking hate big black 👨🏿,derogation,['bla'],5,5a,original,train,1,I fucking hate big 🍆,237
240,no 🙎🏻‍♀️ allowed they aren't 💪🏻 than 🙎🏻‍♂️ so are inferior,derogation,['wom'],5,5b,perturbation,train,1,no 🙎🏻‍♀️ they aren't 💪🏻 than 🙎🏻‍♂️,239
241,If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gs,derogation,['gayman'],5,5a,original,train,1,If you see me post 🚭 about one of my events it means no f🅰️gs,242
242,If you see me post 🚭 about one of my events it means no f🅰️gs,derogation,['gayman'],5,5b,perturbation,train,1,If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gs,241
244,If you see me post 🚭 about one of my events it doesn't mean no smoking but no 🍀,none,['none'],5,5b,perturbation,train,0,If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gz,243
245,those so called 🙎🏻‍♀️ can't even get 🤰🏻,derogation,['trans'],5,5a,original,train,1,those so called 👨‍⚕️ can't even get 💰,246
248,No flags invited. Take the L out and you'll understand 😂😂,derogation,['gayman'],5,5a,original,train,1,No flags invited. Take the S out and you'll understand 😂😂,247
249,all 👨🏼‍⚖️ 👩🏼‍⚖️ are blood sucking vampires,none,['none'],5,5b,perturbation,train,0,all 👬👭 are blood sucking vampires,250
250,all 👬👭 are blood sucking vampires,dehumanizinglanguage,"['gayman', 'gaywom']",5,5a,original,train,1,all 👨🏼‍⚖️ 👩🏼‍⚖️ are blood sucking vampires,249
251,This b1️⃣t©️h was looking 🔥,animosity,['wom'],5,5a,original,train,1,This b1️⃣t©️h was looking for a 🔥partner,252
252,This b1️⃣t©️h was looking for a 🔥partner,none,['none'],5,5b,perturbation,train,0,This b1️⃣t©️h was looking 🔥,251
253,all 👬👭 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,dehumanizinglanguage,"['gayman', 'gaywom']",5,5a,original,train,1,all 🦇🦇 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,254
254,all 🦇🦇 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,none,['none'],5,5b,perturbation,train,0,all 👬👭 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,253
255,watch out 👨🏻‍✈️ those 🥘 lovers wills stink out the ✈️,derogation,['asi.south'],5,5a,original,train,1,watch out 👨🏻‍✈️ those 🍻 lovers wills stink out the ✈️,256
256,watch out 👨🏻‍✈️ those 🍻 lovers wills stink out the ✈️,none,['none'],5,5b,perturbation,train,0,watch out 👨🏻‍✈️ those 🥘 lovers wills stink out the ✈️,255
257,I would love to 🤗 some 👨🏿,none,['none'],5,5b,perturbation,train,0,I would love to 🔫 some 👨🏿,258
259,I fucking hate big black 👩🏿,derogation,['blawom'],5,5a,original,train,1,I fucking hate big black🕷️,260
261,Black 🚺 look horrible to me,derogation,['blawom'],5,5b,perturbation,train,1,Black 🚘  look horrible to me,262
262,Black 🚘  look horrible to me,none,['none'],5,5a,original,train,0,Black 🚺 look horrible to me,261
263,✡️ = 🧛,dehumanizinglanguage,['jew'],5,5a,original,train,1,✡️ ❌ 🧛,264
264,✡️ ❌ 🧛,none,['none'],5,5b,perturbation,train,0,✡️ = 🧛,263
268,🐍their coming to 🔪 us all!,none,['none'],5,5b,perturbation,train,0,👳🏻‍♂️their coming to 🔪 us all!,267
269,💓 = 🐶,none,['none'],5,5b,perturbation,train,0,✡️ = 🐶,270
270,✡️ = 🐶,dehumanizinglanguage,['jew'],5,5a,original,train,1,💓 = 🐶,269
271,Black 👩🏾 look horrible to me,derogation,['blawom'],5,5b,perturbation,train,1,Black ⌚ look horrible to me,272
272,Black ⌚ look horrible to me,none,['none'],5,5a,original,train,0,Black 👩🏾 look horrible to me,271
273,☪️ = 🐷,dehumanizinglanguage,['mus'],5,5a,original,train,1,🥓= 🐷,274
276,Black 👨🏾 look horrible to me,derogation,['bla'],5,5b,perturbation,train,1,Black 📱 look horrible to me,275
277,Let's bomb every 🕌 in the world!,threateninglanguage,['mus'],5,5a,original,train,1,Let's bomb every✈️ in the world!,278
278,Let's bomb every✈️ in the world!,none,['none'],5,5b,perturbation,train,0,Let's bomb every 🕌 in the world!,277
281,"👬=🌈, more like 👬=💩",dehumanizinglanguage,['gayman'],5,5a,original,train,1,"👬=🌈, more like 👬=❤️",282
282,"👬=🌈, more like 👬=❤️",none,['none'],5,5b,perturbation,train,0,"👬=🌈, more like 👬=💩",281
283,shove one of their spicy 🌯 down their throat!,derogation,['mex'],5,5a,original,train,1,shove one of their spicy 🌯 down my throat!,284
284,shove one of their spicy 🌯 down my throat!,none,['none'],5,5b,perturbation,train,0,shove one of their spicy 🌯 down their throat!,283
285,you're such a h0️⃣Ⓜ️0️⃣,derogation,['gayman'],5,5a,original,train,1,I'm such a h0️⃣Ⓜ️0️⃣,286
286,I'm such a h0️⃣Ⓜ️0️⃣,none,['none'],5,5b,perturbation,train,0,you're such a h0️⃣Ⓜ️0️⃣,285
