Comment,Tag_Nalin,Type_Nalin,Tag_Shu,Type_Shu
respect all religions ☦️❤️☪️❤️✡️❤️🕉️,Non-Hated,admiration,Non-Hated,respect
This movie 👍👍👍💯,Non-Hated,admiration,Non-Hated,support
BEAUTIFUL FREEDOM 🙏🎇,Non-Hated,admiration,Non-Hated,admiration
Keep liking yall. Keep sharing. Keep protesting. Don't give up. Don't let them silence us.✊🏼🚺🌎✊🏼🚺🌏✊🏼🚺🌍,Non-Hated,support,Non-Hated,support
You are all so brave and 💪,Non-Hated,respect,Non-Hated,admiration
Absolutely 💯 percent correct.,Non-Hated,acknowledgement,Non-Hated,acknowledgement
respect for the first girl 📈📈📈📈📈,Non-Hated,admiration,Non-Hated,respect
Beautiful! All skin shades are gorgeous! ✊🏻✊🏼✊🏽✊🏽✊🏾✊🏿,Non-Hated,admiration,Non-Hated,admiration
Full recipe in my cookbook 😍👩🏼‍🍳,Non-Hated,sweet,Non-Hated,sweet
this video make me hungry💀💀💀,Non-Hated,amusement,Non-Hated,amusement
Just watching this made it hard for me to breathe 😳,Non-Hated,excitement,Non-Hated,excitement
Now Im hungry at 12 midnight😳,Non-Hated,amusement,Non-Hated,amusement
Ronado was smiling 👀 this media is getting out of handa,Non-Hated,amazement,Non-Hated,amazement
wow it sounds like original 😳,Non-Hated,amazement,Non-Hated,amazement
i never think about this before 👁👄👁,Non-Hated,amazement,Non-Hated,amazement
Omg lol😂😂😂💯🙌🏻,Non-Hated,acknowledgement,Non-Hated,amazement
Slay for using this song 🤙,Non-Hated,acknowledgement,Non-Hated,acknowledgement
The sound is so Satisfying!. 🤤💤,Non-Hated,amusement,Non-Hated,amusement
Your videos are gold 🔥🔥,Non-Hated,admiration,Non-Hated,admiration
i’m waiting to see game 6 klay 🔥🔥,Non-Hated,excitement,Non-Hated,excitement
love this and the caption is on point 🙌 Here is to more travel stories 🥂,Non-Hated,amusement,Non-Hated,amusement
That’s not Amsterdam that’s ✨ Amsterdam ✨,Non-Hated,sweet,Non-Hated,sweet
🥇Thank you for watching the video from overseas as soon as possible!🥰👍❗️,Non-Hated,admiration,Non-Hated,acknowledgement
Giving me ideas😳😳,Non-Hated,concerning,Non-Hated,concerning
We are going old school 😎😮‍💨🔥,Non-Hated,excitement,Non-Hated,excitement
MY MOM IS A BIG FAN. SHE ALWAYS SAYS: should we make The tiktok sandwich? 😋🥰,Non-Hated,respect,Non-Hated,admiration
the dream ✈️,Non-Hated,excitement,Non-Hated,excitement
Y’all are so cute😭❤️,Non-Hated,sweet,Non-Hated,sweet
My brothers shiba inu does these ❤️,Non-Hated,sweet,Non-Hated,sweet
I didn't know tteokbokki was rice paper 😳😍,Non-Hated,amazement,Non-Hated,amazement
OMG!!! That wrap looks so good!!! 😋😋😋,Non-Hated,amazement,Non-Hated,excitement
where did the 0.5 point go?🤔 to the 🍜?,Non-Hated,humorous,Non-Hated,humorous
If only they had an Apple Watch 😂,Non-Hated,amusement,Non-Hated,amusement
"That looks amazing, hope it tasted as good as it looks 😊",Non-Hated,concerning,Non-Hated,concerning
the last clip😂…,Non-Hated,humorous,Non-Hated,humorous
i listened to this before it was popular 😍,Non-Hated,support,Non-Hated,admiration
Gonna be me one day 🤞,Non-Hated,support,Non-Hated,support
I wish I had the money to travel 😂,Non-Hated,humorous,Non-Hated,humorous
Travel life ❤️🏝,Non-Hated,sweet,Non-Hated,sweet
I just added Amsterdam on my wishlist thanks to your gorgeous videos 😻,Non-Hated,support,Non-Hated,support
This is a cool effect with just the red lips on a blank background 👍,Non-Hated,admiration,Non-Hated,admiration
the last one used its tail like a helicopter to fly 🤣😂,Non-Hated,amazement,Non-Hated,amazement
LIVING PROOF ANGELS DO EXIST 😭😭😭💖💖💖💖,Non-Hated,amusement,Non-Hated,amusement
Add some plants 🌱 and wooow it’s gorgeous ❤️😍😍❤️,Non-Hated,support,Non-Hated,sweet
🇺🇦🗑,Hated,criticism,Hated,criticism
ukraine👎👎👎,Hated,criticism,Hated,criticism
NAZI - NATO 😂💀,Hated,derogatory,Hated,discriminatory
BIDEN 😴😴😴,Hated,criticism,Hated,criticism
🤮🤮🤮🤮🤮🤮,Hated,disgust,Hated,disgust
I can summarize Jay-Z in one WORD; EVIL👹👹,Hated,criticism,Hated,criticism
😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😠😠😠😭😭🤢🤢🤢🤮🤮🤧🤧🤧🤧👎👎,Hated,disgust,Hated,criticism
Kanye 😎; Jay Z 🤮,Hated,discriminatory,Hated,discriminatory
A Kylie Jenner BAG 🤢🤮,Hated,criticism,Hated,disgust
ns tbh.; They didn't even say anything about selena 🤦,Hated,mocking,Hated,criticism
According to WION India has 0 cases & 0 deaths while china has trillions of cases 😂🤡,Hated,sarcastic,Hated,sarcastic
If you care about Britney so much then please learn to spell her name properly…🙄,Hated,mocking,Hated,mocking
Yessir I been waiting for this 🥴,Non-Hated,concerning,Non-Hated,concerning
Who the new noti gang soldiers? 😈‼️,Hated,rebellious,Hated,rebellious
Is it war time yet 🙄💯,Hated,rebellious,Hated,rebellious
OHH ;;;;; BACK AGAIN THIS GRAYING WOLF 🤣🤣🤣🤣🤣😋🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️🏌️‍♂️,Hated,mocking,Hated,mocking
Selena true colours are coming out😈,Hated,accusatory,Hated,accusatory
Goddamnit you’re on thin ice pal👴🏻,Hated,derogatory,Hated,derogatory
That nappy hair doo💀💀,Hated,sarcastic,Hated,sarcastic
ll give him something to sniff. 😵‍💫,Hated,threat,Hated,threat
Pops legs ain’t working like they used to☠️,Hated,mocking,Hated,mocking
They created a church for tax evasion?! A new evil kind of LOW! 🤮 the greed is endless with this clan,Hated,criticism,Hated,criticism
Kim’s washed 🤷🏽‍♀️,Hated,derogatory,Hated,derogatory
ong live Steve man 😢🤦🏿‍♂️🔥🚬🐫,Hated,mocking,Hated,mocking
The same lady in doctor phill for kicking toilets 😂,Hated,mocking,Hated,mocking
😂😂😂💀❤️❤️,Non-Hated,sweet,Non-Hated,sweet
5:07 is so funny  and the  guy  Look like  He  Smoke 20 packs of cigarettes  Everyday 🚭 🤣,Non-Hated,humorous,Non-Hated,humorous
“Goddamn it you’re on thin ice pal” 🥵,Hated,concerning,Hated,concerning
say arkward 🙃 but intriguing. The squirrel 🐿️ is amusing 😆,Non-Hated,humorous,Non-Hated,humorous
NPCs are really interactive this GTA6 🤯🤯🤯,Non-Hated,amazement,Non-Hated,support
100k 😤🚀,Non-Hated,excitement,Non-Hated,excitement
im bout to go home and do my thing...😂🙂😐,Non-Hated,concerning,Non-Hated,concerning
shi killed me that shi was funny asf 🤣🤣,Non-Hated,amusement,Non-Hated,amusement
Who was this video about 😳,Non-Hated,amazement,Non-Hated,amazement
Jay z is the 🤘 😈,Non-Hated,admiration,Non-Hated,admiration
Yee should have listened him 😂🤣. Look how things turn out for him,Hated,mocking,Hated,mocking
I agree; like Donald Trump ☹️,Hated,criticism,Hated,sarcastic
Bad Bunny needs to stay clear of that family and save himself now. 😩😩😩,Non-Hated,concerning,Non-Hated,concerning
Selena we don't defend bullys 😢😢😢;  stop it 😵😵😵😵😵😵😵,Non-Hated,concerning,Non-Hated,concerning
🤣... It will have to learn to live with the dragon🔥🐉😂,Non-Hated,humorous,Non-Hated,humorous
Bro your missing a walkie-talkie💀,Non-Hated,humorous,Non-Hated,humorous
Jealousy is disease 🤣,Non-Hated,amusement,Non-Hated,humorous
Deadass 😭😂😂😂,Non-Hated,amusement,Non-Hated,amusement
Mee!! 😈😈,Hated,sarcastic,Non-Hated,humorous
Bro always makes my day😭😭,Non-Hated,admiration,Non-Hated,admiration
i’m happy for the both of them ; they seem like a cute couple to me. plus there we’re signs 🤷🏽‍♀️,Non-Hated,acknowledgement,Non-Hated,acknowledgement
1:58 💀💀💀💀,Non-Hated,amazement,Non-Hated,amazement
“I swear to god I didn’t know it was a women”💀💀,Non-Hated,amazement,Non-Hated,amazement
7:28 “ I think it’s dragonfruit mango 🥭 or some 💩” took me out 😭,Non-Hated,amazement,Non-Hated,amazement
Love da goat kj🗣️,Non-Hated,admiration,Non-Hated,admiration
Yooooo😶,Non-Hated,amazement,Non-Hated,amazement
Real security gave zero fucks😂👌🏾,Non-Hated,humorous,Non-Hated,humorous
Kris 🤢🤢🤢🤮🤮,Hated,criticism,Hated,disgust
Without even trying 😂😂😂😂🎯🎯💯💯💯😏♥️♥️♥️,Non-Hated,humorous,Non-Hated,acknowledgement
🐐,Non-Hated,admiration,Non-Hated,admiration
👍 Macron made his revenge on Biden.😂,Hated,discriminatory,Hated,criticism
Ukraine with be the testing ground 😅,Hated,sarcastic,Hated,sarcastic
The reason why Palki wants to work with Adani ?🤔😂😂,Hated,sarcastic,Hated,sarcastic
Ukraine = country 404 😂.,Hated,sarcastic,Hated,sarcastic
Why don’t they just use Travis to get in.  🤦‍♀️,Hated,sarcastic,Hated,sarcastic
Oh this bold asl 😭🤦🏿‍♂️,Hated,mocking,Hated,mocking
Kim created the family and made them all famous don’t you know??? 🙄🤦🏻‍♀️,Hated,criticism,Hated,criticism
Kourtney is Definitely the Prettier One ...I AM OVER KIM...AND HER MEAN SISTERS 🤮🤮🤮🤮🤮,Hated,criticism,Hated,disgust
So much peace 😂,Hated,sarcastic,Hated,sarcastic
Apple. Of course wants to transfer operation to India.. because of lower wage cost!😂,Hated,sarcastic,Hated,sarcastic
😂😂😂 non violence Peaceful Islam 😅😂😂😂,Hated,mocking,Hated,mocking
RUSSIAN WEAPONS 🤣😂🤣😂🤣,Hated,mocking,Hated,mocking
When it comes to China palaki witch becomes western witch 😅,Hated,sarcastic,Hated,sarcastic
China could sell Aksai China for way more than $8.3 trillion.  🤫,Hated,sarcastic,Hated,sarcastic
Courageous Man directly abused the root cause of problems🗿🗿,Hated,criticism,Hated,criticism
Iran wants to get closer to own destruction. 😂😂,Hated,mocking,Hated,mocking
Everywhere there's unrest and fighting only one religion is causing the trouble!!🙄🤨,Hated,discriminatory,Hated,criticism
😂Lol!  That debt can't hold a candle to our US debt!,Non-Hated,humorous,Non-Hated,humorous
Chinese man don't know  he is  dealing with zombies 😂😂,Hated,mocking,Hated,mocking
We want war we want war😂😂😂,Hated,sarcastic,Hated,sarcastic
I'm 🐈,Hated,sarcastic,Hated,sarcastic
“I need that more than you do” mfr get to work then ☠️,Hated,criticism,Hated,criticism
No timmy😭 anyone but not Kylie 😭😭😭,Hated,sarcastic,Hated,criticism
Perhaps Chloe just sucks at music 🤷🏻‍♀️,Hated,criticism,Hated,criticism
Who are we to judge love is love. 🏳️‍🌈🏳️‍⚧️🇮🇳🇺🇳,Non-Hated,acknowledgement,Non-Hated,acknowledgement
Thank you so much for that. We in Brazil stand firmly on the side of our Indian friends. 🇧🇷 🤝 🇮🇳,Non-Hated,support,Non-Hated,support
You goin up 2023 no cap 🫡,Non-Hated,admiration,Non-Hated,admiration
❤❤❤ China ❤❤❤❤ Russia ☮️☮️☮️☮️☮️☮️☮️,Non-Hated,admiration,Non-Hated,sweet
Country built on peace 🕊️✌️😁,Non-Hated,acknowledgement,Non-Hated,acknowledgement
Another pandemic coming😢,Non-Hated,concerning,Non-Hated,concerning
15:00 😯😯😯😯😯😯😯 woa this is crazy .,Non-Hated,amazement,Non-Hated,amazement
Because humen cats make those smell fishy 😣,Non-Hated,disgust,Non-Hated,disgust
OK LEGEND!!! 🤴🏽,Non-Hated,support,Non-Hated,support
Kj back up 😂🔥,Hated,sarcastic,Hated,sarcastic
😮😮😮😂❤,Non-Hated,amazement,Non-Hated,amazement
U got guts bruh😳,Non-Hated,amazement,Hated,sarcastic
Kim it’s over. Make way for Queen Kourt ✨🖤👑🪩,Non-Hated,support,Non-Hated,support
I don't speak English. Said in the most American accent ever. I will use that one day 😂😂😂,Non-Hated,humorous,Non-Hated,humorous
Loved this!!!!😂😂 We need a part 2 immediately!!,Non-Hated,amusement,Non-Hated,amusement
Dani is really playing with all of these guys emotions 😂,Non-Hated,amusement,Non-Hated,amusement
Dani never disappoints 🤣🤣,Non-Hated,humorous,Non-Hated,humorous
This has me laughing hard 😂😂,Non-Hated,humorous,Non-Hated,humorous
👍 😅 I'ma gonna try it on some cuties like you Dani ! ~♡,Non-Hated,support,Non-Hated,support
Daniiiii oh my😭😭😍😍,Non-Hated,amazement,Non-Hated,amazement
👍💯😝💯👍,Non-Hated,admiration,Non-Hated,admiration
Honestly this is just cruel 🤣,Non-Hated,humorous,Non-Hated,humorous
After he said she made his day 😅😭,Non-Hated,amusement,Non-Hated,amusement
